ED_ID,Electoral Division Name (English),GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length
268130,RATHMINES EAST C,Ráth Maonais Thoir C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dd5-13a3-e055-000000000001,716221.59,730774.84,737506.26,1942,737506.2614,4717.756156
267150,TEMPLEOGUE-KIMMAGE MANOR,Teach Mealóg-Mainéar Chamaí,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cd2-13a3-e055-000000000001,712694.37,729778.64,1092788.03,1957,1092788.03,4865.233042
268029,BOTANIC C,Garraithe na Lus C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d27-13a3-e055-000000000001,715509.35,736284.79,299190.7,1965,299190.7047,2462.513343
267071,DUN LAOGHAIRE-MOUNT TOWN,Dún Laoghaire-Baile an Chnoic,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d3e-13a3-e055-000000000001,723253,727835.58,335743.17,1997,335743.1684,2370.073119
268065,FINGLAS NORTH C,Fionnghlas Thuaidh C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d6c-13a3-e055-000000000001,713170.28,739805.36,1112590.85,2073,1112590.848,5142.17153
268162,WOOD QUAY B,Cé an Adhmaid B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e0e-13a3-e055-000000000001,715112.67,732803.39,297207.4,2076,297207.3952,2255.218708
267086,FIRHOUSE-KNOCKLYON,Teach na Giúise-Cnoc Lín,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d78-13a3-e055-000000000001,711926.32,727721.81,1119225.93,2092,1119225.933,4523.96784
267079,DUNDRUM-KILMACUD,Dún Droma-Cill Mochuda,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d5b-13a3-e055-000000000001,717726.68,727889.5,917743.49,2096,917743.4931,4541.834482
267134,SWORDS-SEATOWN,Sord-Baile na Mara,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cb1-13a3-e055-000000000001,719387.44,746859.63,4036996.31,2098,4036996.313,12741.48006
268128,RATHMINES EAST A,Ráth Maonais Thoir A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dd3-13a3-e055-000000000001,716539.85,732188.93,697013.69,2105,697013.6877,3552.628293
267133,SWORDS-LISSENHALL,Sord-Halla an Leasáin,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cb0-13a3-e055-000000000001,717020.91,750005.01,18775562.41,2109,18775562.41,24045.01124
268022,BEAUMONT B,Beaumont B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d12-13a3-e055-000000000001,718092.91,739098.57,849989.58,2123,849989.5783,4108.940673
268041,CLONTARF EAST A,Cluain Tarbh Thoir A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d43-13a3-e055-000000000001,721087.13,737574.61,2122279.36,2137,2122279.356,6217.449358
267055,CLONSKEAGH-MILLTOWN,Cluain Sceach-Baile an Mhuilinn,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d18-13a3-e055-000000000001,717153,730235.49,520148.38,2139,520148.3847,2942.133707
268123,PRIORSWOOD E,Coill an Phrióra E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dce-13a3-e055-000000000001,718964.71,740392.9,408400.3,2143,408400.3009,2546.18299
268142,SAINT KEVIN'S,Toghroinn Chaoimhín,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dee-13a3-e055-000000000001,715832.56,732898.79,624634,2159,624634.0021,3324.684486
268111,PEMBROKE EAST B,Peambróg Thoir B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1db7-13a3-e055-000000000001,718599.57,732885.77,682599.75,2161,682599.7495,3727.587968
268076,HARMONSTOWN A,Baile Hearman A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d84-13a3-e055-000000000001,719986.03,738919.84,610748.63,2170,610748.6282,3260.434094
267081,DUNDRUM-SWEETMOUNT,Dún Droma-Droim Meala,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d5d-13a3-e055-000000000001,716639.37,728211.6,557781.26,2173,557781.2636,3065.333797
267156,TERENURE-GREENTREES,Tír an Iúir-Na Crainn Ghlasa,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ce6-13a3-e055-000000000001,712278.76,730334.68,663285.32,2179,663285.3192,3667.942241
268058,DRUMCONDRA SOUTH A,Droim Conrach Theas A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d65-13a3-e055-000000000001,716680.32,736842.65,1039169.48,2185,1039169.484,4294.676287
268075,GRANGE E,An Ghráinseach E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d83-13a3-e055-000000000001,721400.88,738993.99,549148.22,2231,549148.2209,3954.752086
268014,BALLYGALL D,Baile Gall D,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d0a-13a3-e055-000000000001,714331.69,738145.1,433485.58,2235,433485.5769,2619.424063
268109,NORTH DOCK C,An Duga Thuaidh C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1db5-13a3-e055-000000000001,716679.93,734936.18,606240.52,2238,606240.5242,3488.445487
268067,FINGLAS SOUTH B,Fionnghlas Theas B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d6e-13a3-e055-000000000001,713371.85,738226.65,999311.64,2263,999311.6365,4896.839346
268124,RAHENY-FOXFIELD,Ráth Eanaigh-Gort an tSionnaigh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dcf-13a3-e055-000000000001,722498.16,738641.43,584670.85,2268,584670.8459,3255.700315
268087,KILMORE D,An Choill Mhór D,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d96-13a3-e055-000000000001,719304.76,739362.78,519875.75,2269,519875.7509,3318.131123
268141,ROYAL EXCHANGE B,An Malartán Ríoga B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ded-13a3-e055-000000000001,715689.03,733613.53,221348.38,2274,221348.3818,2114.852181
268024,BEAUMONT D,Beaumont D,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d22-13a3-e055-000000000001,718622.27,738239.5,466633.68,2295,466633.6829,2761.363449
267023,BLACKROCK-NEWPARK,An Charraig Dhubh-An Pháirc Nua,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cc1-13a3-e055-000000000001,721874.27,727856.22,502861.49,2300,502861.4863,3067.202386
268137,RATHMINES WEST F,Ráth Maonais Thiar F,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1de9-13a3-e055-000000000001,715096.1,731414.99,434474.19,2305,434474.1907,2913.496781
267104,LUSK,Lusca,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ddf-13a3-e055-000000000001,720336.1,755098.1,42725435.82,2307,42725435.81,52860.78472
267107,NEWCASTLE,An Caisleán Nua,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1de2-13a3-e055-000000000001,701078.5,728698.89,32126695.18,2323,32126695.18,28715.33754
