FID,District_N,District_C,Division,Area_Sq_km,Area_Sq_Mi,Revised_YN,Revised_Da,Pop_by_Dis,Housholds_,Comments,FID_1,STATION_NA,DIVISION_H,ADDRESS,,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY,Shape_Leng,Shape__Area,Shape__Length,COUNTRY
36,New Ross,3170D,Wexford & Wicklow,596.619,230.356,YES,2019/11/28 00:00:00+00,27506,10225, ,41,NEW ROSS,WEXFORD,"Marshmeadows, New Ross",,WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/New-Ross.html,271484,126693,671419,626743,-6.9508,52.387564,1,51,426030,District HQ,175032.8058,598846160.4,175032.8058,IRELAND
37,Thomastown,3570L,Kilkenny/Carlow & Waterford,1115.297,430.619,YES,2019/11/28 00:00:00+00,38383,13508, ,364,THOMASTOWN,WATERFORD,"Low St, Thomastown",,KILKENNY,https://www.garda.ie/en/Contact-Us/Station-Directory/Thomastown.html,258413,142256,658351,642302,-7.140031,52.528949,1,56,7754150,District HQ,199327.4793,1119414751,199327.4793,IRELAND
38,Waterford,3300F,Kilkenny/Carlow & Waterford,172.229,66.498,YES,2019/11/28 00:00:00+00,61635,23618, ,13,WATERFORD,WATERFORD,"Ballybricken, Waterford City, Co. Waterford",,WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Waterford.html,260461,112378,660398,612431,-7.115254,52.260269,1,51,305300,Division HQ,82187.363,172858071.1,82187.363,IRELAND
39,Tramore,3400B,Kilkenny/Carlow & Waterford,669.277,258.409,YES,2019/11/28 00:00:00+00,27976,10023, ,12,TRAMORE,WATERFORD,"Off Market Street, Tramore, Co. Waterford",,WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Tramore.html,257984,101354,657922,601410,-7.153412,52.161475,1,51,391620,District HQ,164042.7517,671683978.5,164042.7517,IRELAND
40,Kilkenny,3500K,Kilkenny/Carlow & Waterford,955.219,368.812,YES,2019/11/28 00:00:00+00,55321,19443, ,357,KILKENNY,WATERFORD,"Dominic Street, Kilkenny",,KILKENNY,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilkenny.html,250149,155908,650089,655951,-7.259723,52.65244,1,56,7775000,District HQ,212923.2903,958765485.9,212923.2903,IRELAND
41,Thurles,3600E,Clare & Tipperary,1098.327,424.066,YES,2019/11/28 00:00:00+00,35244,12698, ,558,THURLES,ENNIS,"Slievenamon Road, Thurles, Co. Tipperary",,TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Thurles.html,212773,158257,612721,658300,-7.8119,52.675712,1,504,25100,District HQ,228554.4445,1102354145,228554.4445,IRELAND
42,Tipperary,3870K,Clare & Tipperary,631.815,243.945,YES,2019/11/28 00:00:00+00,19282,7444, ,559,TIPPERARY,ENNIS,"St. Michael's Road, Tipperary",,TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Tipperary-Town.html,188981,136034,588933,636082,-8.162901,52.476051,1,62,80670,District HQ,164257.9081,634101598.8,164257.9081,IRELAND
43,Cahir,3700A,Clare & Tipperary,710.366,274.274,YES,2019/11/28 00:00:00+00,23443,8492, ,533,CAHIR,ENNIS,"Clonmel Road, Cahir",,TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Cahir.html,205478,124887,605427,624938,-7.920298,52.375972,1,52,7445630,District HQ,199704.816,712912810.8,199704.816,IRELAND
44,Dungarvan,3370G,Kilkenny/Carlow & Waterford,1002.694,387.142,YES,2019/11/28 00:00:00+00,32169,11690, ,565,DUNGARVAN,WATERFORD,"Youghal Road, Dungarvan",,WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Dungarvan.html,225790,92872,625735,592930,-7.624475,52.087691,1,58,48600,District HQ,264744.0488,1006241527,264744.0488,IRELAND
45,Fermoy,4100K,Cork North & Cork West,1085.364,419.061,YES,2019/11/28 00:00:00+00,40116,14277, ,147,FERMOY,MACROOM (Temp),"O'Neill Crowley Quay, Fermoy",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Fermoy.html,181278,98497,581233,598553,-8.274164,52.138516,1,25,82100,District HQ,224124.1458,1089214500,224124.1458,IRELAND
46,Bruff,4900L,Limerick,889.089,343.279,YES,2019/11/28 00:00:00+00,30100,10771, ,392,BRUFF,HENRY STREET,"Main St, Bruff, Co. Limerick",,LIMERICK,https://www.garda.ie/en/Contact-Us/Station-Directory/Bruff.html,162884,136304,562843,636352,-8.546975,52.47733,1,61,382940,District HQ,244642.065,892330879,244642.065,IRELAND
47,Mallow,4170L,Cork North & Cork West,1246.158,481.144,YES,2019/11/28 00:00:00+00,48077,17873, ,162,MALLOW,MACROOM (Temp),"Bowling Green, Mallow",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Mallow.html,155824,98686,555784,598742,-8.64594,52.13877,1,22,31450,District HQ,236410.152,1250687726,236410.152,IRELAND
48,Togher,3930F,3931D,207.66,80.178,YES,2019/11/28 00:00:00+00,101418,35762, ,177,TOGHER,ANGLEASEA STREET,"Casey's Cross, Tramore Road, Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Togher.html,166564,69417,566521,569480,-8.486227,51.876497,1,21,4947120,District HQ,89285.26494,208382791.6,89285.26494,IRELAND
49,Anglesea Street,3900D,3900D,14.384,5.554,YES,2019/11/28 00:00:00+00,40330,16273, ,110,ANGLESEA STREET,ANGLESEA STREET,"Anglesea Street, Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Anglesea-Street.html,168038,71553,567995,571615,-8.465015,51.895775,1,21,4522000,District HQ,22011.60479,14434239.19,22011.60479,IRELAND
50,Gurranabraher,4020G,4022C,230.708,89.077,YES,2019/11/28 00:00:00+00,59689,20968, ,151,GURRANABRAHER,ANGLEASEA STREET,"Bakers Road, Gurranabraher, Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Gurranabraher.html,165868,72426,565826,572488,-8.496622,51.903493,1,21,4946200,District HQ,99222.02782,231522000.2,99222.02782,IRELAND
51,Bandon,4300A,Cork North & Cork West,770.433,297.466,YES,2019/11/28 00:00:00+00,42395,14436, ,121,BANDON,MACROOM (Temp),"Weir Street, Bandon, Co. Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Bandon.html,148948,54943,548909,555009,-8.739863,51.745084,1,23,8852200,District HQ,248683.8073,773130470.6,248683.8073,IRELAND
52,Mayfield,3980B,4074F,103.575,39.991,YES,2019/11/28 00:00:00+00,57211,21280, ,163,MAYFIELD,ANGLEASEA STREET,"Colmcille Avenue, Mayfield, Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Mayfield.html,170524,73091,570480,573153,-8.429043,51.909732,1,21,4558510,District HQ,59636.77939,103938202.2,59636.77939,IRELAND
53,Macroom,4470K,Cork North & Cork West,1556.632,601.019,YES,2019/11/28 00:00:00+00,41293,14203, ,161,MACROOM,MACROOM (Temp),"Barrack Lane, Macroom, Co. Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Macroom.html,133705,73058,533669,573120,-8.963996,51.906268,1,26,20590,District HQ,283822.9334,1562277623,283822.9334,IRELAND
54,Clonakilty,4400H,Cork North & Cork West,866.921,334.72,YES,2019/11/28 00:00:00+00,29208,10899, ,135,CLONAKILTY,MACROOM (Temp),"McCurtain Hill, Clonakilty, Co. Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Clonakilty.html,138491,41691,538454,541760,-8.888908,51.624951,1,23,8821570,District HQ,292316.7582,870027228.7,292316.7582,IRELAND
55,Bantry,4370B,Cork North & Cork West,1227.567,473.966,YES,2019/11/28 00:00:00+00,20583,8115, ,122,BANTRY,MACROOM (Temp),"The Quay, Bantry, Co. Cork",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Bantry.html,99396,48475,499367,548542,-9.455239,51.68027,1,27,20860,District HQ,599358.1604,1232152449,599358.1604,IRELAND
56,Killarney,4650G,Kerry,2512.085,969.921,YES,2019/11/28 00:00:00+00,54671,19258, ,322,KILLARNEY,TRALEE,"New Road, Killarney, Co. Kerry",,KERRY,https://www.garda.ie/en/Contact-Us/Station-Directory/Killarney.html,96326,91071,496298,591129,-9.512388,52.062403,1,64,6671160,District HQ,512946.8996,2521802626,512946.8996,IRELAND
57,Tralee,4600M,Kerry,1462.167,564.546,YES,2019/11/28 00:00:00+00,60126,22616, ,331,TRALEE,TRALEE,"New Road, Tralee, Co. Kerry",,KERRY,https://www.garda.ie/en/Contact-Us/Station-Directory/Tralee.html,83396,114411,483372,614464,-9.708839,52.269488,1,66,7102300,District HQ,456044.7651,1467946895,456044.7651,IRELAND
58,Listowel,4770H,Kerry,891.827,344.336,YES,2019/11/28 00:00:00+00,28604,11176, ,325,LISTOWEL,TRALEE,"56 Church St, Listowel",,KERRY,https://www.garda.ie/en/Contact-Us/Station-Directory/Listowel.html,99155,133839,499127,633888,-9.483916,52.447132,1,68,50820,District HQ,232749.7163,895267990.7,232749.7163,IRELAND
59,Newcastle West,4970M,Limerick,1416.951,547.088,YES,2019/11/28 00:00:00+00,51370,18634, ,406,NEWCASTLE WEST,HENRY STREET,"Churchtown, Newcastlewest",,LIMERICK,https://www.garda.ie/en/Contact-Us/Station-Directory/Newcastlewest.html,127825,134070,527791,634118,-9.062395,52.453746,1,69,20650,District HQ,231211.6561,1422238060,231211.6561,IRELAND
60,Nenagh,3770B,Clare & Tipperary,1443.305,557.263,YES,2019/11/28 00:00:00+00,44186,16214, ,550,NENAGH,ENNIS,"Banba Square, Nenagh",,TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Nenagh.html,186608,179243,586561,679282,-8.199582,52.864279,1,67,50450,District HQ,292114.1378,1448647276,292114.1378,IRELAND
61,Limerick City North,4800C,Limerick,180.496,69.69,YES,2019/11/28 00:00:00+00,76060,27733, ,401,HENRY STREET,HENRY STREET,"102 Henry Street, Limerick, Co. Limerick",,LIMERICK,https://www.garda.ie/en/Contact-Us/Station-Directory/Henry-Street.html,157331,156861,557291,656905,-8.631345,52.66164,1,61,212400,Division HQ,83360.32042,181163655.3,83360.32042,IRELAND
62,Limerick City South,4800C,Limerick,283.61,109.503,YES,2019/11/28 00:00:00+00,48521,17311, ,412,ROXBORO ROAD,HENRY STREET,"Roxboro Road, Limerick, Co. Limerick",,LIMERICK,https://www.garda.ie/en/Contact-Us/Station-Directory/Roxboro-Road.html,158432,155641,558392,655685,-8.61491,52.650763,1,61,214340,District HQ,110576.3513,284653830.2,110576.3512,IRELAND
63,Birr,2600L,Kildare & Laois/Offaly,877.923,338.968,YES,2019/11/28 00:00:00+00,23258,8482, ,488,BIRR,PORT LAOISE,"Emmet Sq, Birr, Co. Offaly",,OFFALY,https://www.garda.ie/en/Contact-Us/Station-Directory/Birr.html,205977,205022,605926,705056,-7.911523,53.096052,1,57,9169710,District HQ,191678.8036,881231077.8,191678.8036,IRELAND
64,Tuam,5800K,Galway,1002.494,387.065,YES,2019/11/28 00:00:00+00,37069,13296, ,303,TUAM,MURROUGH,"Abbeytrinity, Tuam, Co. Galway",,GALWAY,https://www.garda.ie/en/Contact-Us/Station-Directory/Tuam.html,143273,252060,543236,752084,-8.855884,53.515662,1,93,70840,District HQ,230624.1133,1006461712,230624.1133,IRELAND
65,Buncrana,6470L,Donegal/Sligo & Leitrim,792.528,305.997,YES,2019/11/28 00:00:00+00,34765,12382, ,187,BUNCRANA,LETTERKENNY,"New Link Road, Buncrana",,DONEGAL,https://www.garda.ie/en/Contact-Us/Station-Directory/Buncrana.html,235085,431724,635030,931709,-7.450711,55.1315,1,74,9320540,District HQ,255247.2437,795915347.8,255247.2437,IRELAND
66,Milford,6540D,Donegal/Sligo & Leitrim,1666.785,643.549,YES,2019/11/28 00:00:00+00,34835,13463, ,210,MILFORD,LETTERKENNY,"Main Street, Milford, Letterkenny",,DONEGAL,https://www.garda.ie/en/Contact-Us/Station-Directory/Milford-Co-Donegal.html,219326,426673,619274,926658,-7.698108,55.08699,1,74,9153060,District HQ,550249.5565,1673789291,550249.5565,IRELAND
67,Ballyshannon,6600A,Donegal/Sligo & Leitrim,1601.04,618.165,YES,2019/11/28 00:00:00+00,31597,11968, ,185,BALLYSHANNON,LETTERKENNY,"The Mall, Ballyshannon",,DONEGAL,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballyshannon.html,186778,361165,586732,861164,-8.204817,54.498743,1,71,9858530,District HQ,536350.911,1607634592,536350.911,IRELAND
68,Dundalk,2070B,Cavan/Monaghan & Louth,281.327,108.621,YES,2019/11/28 00:00:00+00,54775,19670, ,429,DUNDALK,DROGHEDA,"The Cresent, Dundalk, Co. Louth",,LOUTH,https://www.garda.ie/en/Contact-Us/Station-Directory/Dundalk.html,304337,306745,704266,806755,-6.409665,53.999499,1,42,9388400,District HQ,127284.7786,282521986.4,127284.7786,IRELAND
